,city,cloudiness,country,date,humidity,lat,lon,name,temp,wind
109,hobart,20,AU,1567465199,66,-42.88,147.33,Hobart,60.01,9.17
110,chuy,97,UY,1567465200,69,-33.69,-53.46,Chuy,48.5,7.34
111,balkhash,0,KZ,1567465200,37,46.84,74.98,Balkhash,53.36,6.76
112,yellowknife,90,CA,1567465200,71,62.45,-114.38,Yellowknife,50.0,4.7
113,kuusamo,0,FI,1567464910,77,65.96,29.19,Kuusamo,60.8,10.29
114,souillac,0,FR,1567465201,62,45.6,-0.6,Souillac,59.0,3.36
115,arraial do cabo,20,BR,1567465201,88,-22.97,-42.02,Arraial do Cabo,71.6,6.93
116,midland,1,US,1567465005,17,32.0,-102.08,Midland,93.2,5.82
117,broken hill,0,AU,1567465203,14,-31.97,141.45,Broken Hill,68.0,10.29
118,sao joao da barra,28,BR,1567465207,85,-21.64,-41.05,Sao Joao da Barra,71.36,2.55
119,karratha,0,AU,1567465213,26,-20.74,116.85,Karratha,77.84,16.96
120,vung tau,100,VN,1567465214,86,10.35,107.08,Vung Tau,77.84,14.92
121,juxtlahuaca,92,MX,1567465215,93,17.43,-99.15,Juxtlahuaca,67.94,3.29
122,antofagasta,20,CL,1567465217,76,-23.65,-70.4,Antofagasta,57.2,11.41
123,esso,86,RU,1567465218,72,55.93,158.7,Esso,49.94,7.52
124,porkhov,0,RU,1567465218,88,57.77,29.55,Porkhov,62.6,2.24
125,namtsy,0,RU,1567465218,93,62.72,129.66,Namtsy,48.2,2.24
126,namtsy,0,RU,1567465218,93,62.72,129.66,Namtsy,48.2,2.24
127,omboue,93,GA,1567465219,83,-1.57,9.26,Omboue,74.6,10.76
128,vega de alatorre,6,MX,1567465219,62,20.03,-96.65,Vega de Alatorre,81.98,3.53
129,spring valley,1,US,1567465221,61,41.33,-89.2,Spring Valley,82.4,4.7
130,acapulco,20,MX,1567465221,62,16.86,-99.88,Acapulco,89.6,13.87
131,kavieng,54,PG,1567465221,75,-2.57,150.8,Kavieng,82.7,10.47
132,khandyga,82,RU,1567465221,70,62.65,135.58,Khandyga,55.16,6.87
133,dingle,91,PH,1567465222,85,11.0,122.67,Dingle,76.76,4.76
134,carnarvon,0,ZA,1567465222,23,-30.97,22.13,Carnarvon,48.86,0.31
135,pisco,75,PE,1567465222,30,-13.71,-76.2,Pisco,71.6,10.29
136,saint-leu,0,RE,1567465222,64,-21.15,55.28,Saint-Leu,68.0,8.05
